[117/144] shortest-path | mt_en | sample3 -- ok (56.9s, 2054 tokens)
[118/144] shortest-path | mt_en | sample4 -- ok (57.3s, 2044 tokens)
[119/144] shortest-path | mt_en | sample5 -- ok (55.0s, 1976 tokens)
[120/144] shortest-path | mt_en | sample6 -- ok (60.0s, 2157 tokens)
[121/144] bank-rollback | en_human | sample1 -- skip (already done)
[122/144] bank-rollback | en_human | sample2 -- ok (26.6s, 918 tokens)
[123/144] bank-rollback | en_human | sample3 -- ok (28.5s, 963 tokens)
[124/144] bank-rollback | en_human | sample4 -- ok (33.3s, 1149 tokens)
[125/144] bank-rollback | en_human | sample5 -- ok (29.5s, 1003 tokens)
[126/144] bank-rollback | en_human | sample6 -- ok (30.9s, 1043 tokens)
[127/144] bank-rollback | ja_raw | sample1 -- skip (already done)
[128/144] bank-rollback | ja_raw | sample2 -- ok (36.2s, 1278 tokens)
[129/144] bank-rollback | ja_raw | sample3 -- ok (28.7s, 1010 tokens)
[130/144] bank-rollback | ja_raw | sample4 -- ok (38.8s, 1355 tokens)
[131/144] bank-rollback | ja_raw | sample5 -- ok (38.9s, 1385 tokens)
[132/144] bank-rollback | ja_raw | sample6 -- ok (35.8s, 1268 tokens)
[133/144] bank-rollback | ja_directive | sample1 -- skip (already done)
[134/144] bank-rollback | ja_directive | sample2 -- ok (45.9s, 1599 tokens)
[135/144] bank-rollback | ja_directive | sample3 -- ok (41.4s, 1463 tokens)
[136/144] bank-rollback | ja_directive | sample4 -- ok (40.5s, 1448 tokens)
[137/144] bank-rollback | ja_directive | sample5 -- ok (39.0s, 1387 tokens)
[138/144] bank-rollback | ja_directive | sample6 -- ok (50.4s, 1808 tokens)
[139/144] bank-rollback | mt_en | sample1 -- skip (already done)
[140/144] bank-rollback | mt_en | sample2 -- ok (28.7s, 976 tokens)
[141/144] bank-rollback | mt_en | sample3 -- ok (32.0s, 1100 tokens)
[142/144] bank-rollback | mt_en | sample4 -- ok (31.3s, 1082 tokens)
[143/144] bank-rollback | mt_en | sample5 -- ok (29.9s, 1043 tokens)
[144/144] bank-rollback | mt_en | sample6 -- ok (32.5s, 1122 tokens)

--- run complete ---
total slots:            144
skipped (already done): 24
failed:                 0
